order_braun;adjective;shorthand;text;page;corpus;
426;simple;KS;sta;21;A;
427;simple;KS;sta;58;A;
428;simple;KS;stc;8;A;
429;simple;KS;stc;27;A;
430;simple;KS;std;17;A;
431;simple;KS;std;54;A;
432;simple;SS;was;79;A;
433;simple;SS;was;222;A;
434;simple;SS;was;231;A;
435;simple;SS;was;246;A;
436;simple;SS;asil;42;A;
437;simple;SS;sea;16;A;
438;simple;SS;sec;22;A;
439;simple;SS;gc;215;A;
440;simple;SS;stb;31;A;
441;simple;SS;stb;32;A;
442;simple;SS;std;15;A;
443;simple;SS;std;33;A;
444;sincere;KA;asil;101;A;
445;skinny;KS;gc;165;A;
446;smelly;KS;smb;32;A;
447;smelly;SS;smb;32;A;
448;snappy;SA;asil;186;A;
449;sober;KA;seb;11;A;
450;sober;KA;cop;189;A;
451;sober;KA;stb;31;A;
452;sombre;KA;cop;18;A;
453;sombre;KA;cop;161;A;
454;sorry;KA;asil;287;A;
455;sorry;KS;stc;36;A;
456;sour;KS;std;55;A;
457;spicy;KA;was;41;A;
458;spicy;SS;stb;32;A;
459;stable;KA;was;120;A;a1
460;stable;KA;stb;32;A;
461;stable;KS;cop;73;A;
462;stately;KA;cop;193;A;
463;stately;KS;std;32;A;
464;steady;KS;smc;37;A;
465;stormy;SS;stc;11;A;
466;stubby;KS;cop;207;A;
467;stumpy;KS;bow;53;A;
468;stupid;KS;asil;174;A;
469;sublime;KA;std;36;A;
470;subtle;KA;bow;44;A;
471;subtle;KA;bow;45;A;
472;subtle;KA;bow;96;A;
473;subtle;KA;bow;98;A;
474;subtle;KA;bow;111;A;
475;subtle;KA;asil;46;A;
476;subtle;KA;aw;60;A;
477;subtle;KS;cop;98;A;
478;subtle;KS;cop;272;A;
479;sunny;KS;stc;42;A;
480;tender;SS;asil;200;A;
481;tender;SS;std;12;A;
482;tipsy;KS;stc;36;A;
483;tricky;KA;cop;40;A;
484;tricky;SS;asil;311;A;
485;tricky;SS;sea;27;A;
486;tricky;SS;sta;31;A;
487;ugly;KA;seb;5;A;
488;unkind;SS;smb;2;A;
489;wary;KA;asil;259;A;
490;wealthy;KS;was;120;A;
491;worldly;KA;cop;254;A;
492;zany;SS;sma;4;A;
493;zany;SS;smb;7;A;
494;able;KA;tul;114;B;
495;able;KA;tul;174;B;
496;angry;KS;ta;237;B;
497;bitter;SS;ta;174;B;
498;bitty;KA;tul;201;B;
499;bloody;SS;ta;311;B;
500;blotchy;KA;lat;233;B;
501;busy;SS;tbw;92;B;
502;busy;SS;tul;61;B;
503;clever;KA;ja;39;B;
504;clever;KS;ta;13;B;
505;clever;KS;ta;297;B;
506;comely;KA;tul;349;B;
507;common;KA;tul;76;B;
508;common;KA;tul;85;B;
509;common;KA;tul;202;B;
510;common;KA;tul;212;B;
511;common;KA;tul;230;B;
512;common;KA;tul;309;B;
513;common;KA;pce;205;B;
514;common;KS;tul;129;B;
515;common;KS;pce;28;B;
516;common;KS;pce;28;B;
517;common;KS;pce;29;B;
518;common;KS;pce;38;B;
519;common;KS;pce;49;B;
520;common;KS;pce;59;B;
521;common;KS;pce;60;B;
522;common;KS;pce;69;B;
523;common;KS;pce;85;B;
524;common;KS;pce;85;B;
525;common;KS;pce;205;B;
526;common;KS;pce;216;B;
527;common;KS;pce;231;B;
528;common;SA;tbw;38;B;
529;common;SA;tbw;42;B;
530;common;SA;tbw;68;B;
531;common;SA;tbw;147;B;
532;common;SA;tul;35;B;
533;common;SA;tul;81;B;
534;common;SA;tul;89;B;
535;common;SA;tul;179;B;
536;common;SA;tul;314;B;
537;common;SA;tul;315;B;
538;common;SA;tul;368;B;
539;common;SA;pce;122;B;
540;common;SA;pce;150;B;
541;common;SS;tbw;244;B;
542;common;SS;tul;45;B;
543;common;SS;pce;v;B;
544;common;SS;pce;28;B;
545;common;SS;pce;35;B;
546;common;SS;pce;48;B;
547;common;SS;pce;63;B;
548;common;SS;pce;75;B;
549;common;SS;pce;75;B;
550;common;SS;pce;91;B;
