order_braun;pattern;text;adjective;form;page;category;corpus
274;c4;sta;easy;s;16;C;A
275;c4;sta;acute;a;62;C;A
276;c4;stc;easy;s;10;C;A
277;c4;stc;easy;s;37;C;A
278;c4;std;easy;s;13;C;A
279;c4;std;easy;s;72;C;A
280;d1;sta;able;a;16;C;A
281;d1;sta;mellow;s;37;C;A
282;d1;std;quiet;s;36;C;A
283;d2;was;stable;a;120;C;A
284;d2;was;spicy;a;41;C;A
285;d2;bow;heavy;s;151;C;A
286;d2;asil;jumpy;a;323;C;A
287;d2;seb;needy;a;11;C;A
288;d2;cop;lonely;s;49;C;A
289;d2;cop;lucky;s;73;C;A
290;d2;cop;stable;s;73;C;A
291;d2;sta;costly;s;59;C;A
292;d2;stb;friendly;a;17;C;A
293;d2;stc;simple;s;27;C;A
294;d2;std;simple;s;17;C;A
295;d2;std;discreet;s;17;C;A
296;d3;was;heavy;s;188;C;A
297;d3;bow;intense;a;45;C;A
298;d3;bow;heavy;s;136;C;A
299;d3;stb;easy;s;30;C;A
300;d3;stc;remote;a;10;C;A
301;d3;std;heavy;s;54;C;A
302;e1;was;mellow;s;124;C;A
303;e1;bow;easy;s;193;C;A
304;e1;sea;pretty;s;3;C;A
305;e1;sea;compact;a;3;C;A
306;e1;seb;dolly;s;2;C;A
307;e1;seb;ugly;a;5;C;A
308;e1;cop;sombre;a;18;C;A
309;e1;cop;cagey;a;40;C;A
310;e1;cop;tricky;a;40;C;A
311;e1;cop;worldly;a;254;C;A
312;e1;stc;pretty;s;31;C;A
313;e2;was;pleasant;a;168;C;A
314;e2;asil;subtle;a;46;C;A
315;e2;asil;easy;a;110;C;A
316;e2;cop;sombre;a;161;C;A
317;e2;cop;sober;a;189;C;A
318;e2;sta;remote;a;32;C;A
319;f1;asil;homely;a;236;C;A
320;f1;asil;remote;a;298;C;A
321;f1;asil;quiet;a;298;C;A
322;f1;cop;subtle;s;98;C;A
323;f4;bow;easy;s;171;C;A
324;f4;stb;moody;a;41;C;A
325;g1;cop;subtle;s;272;C;A
326;g1;stb;able;a;15;C;A
327;g1;stb;sober;a;31;C;A
328;h2;asil;able;a;255;C;A
329;h2;asil;able;a;255;C;A
330;i1;asil;noble;a;135;C;A
331;i1;asil;happy;s;141;C;A
332;i1;asil;wary;a;259;C;A
333;i1;smb;smelly;s;32;C;A
334;i1;stb;likely;a;4;C;A
335;i1;stb;noisy;s;19;C;A
336;l;was;narrow;s;47;S;A
337;l;was;early;s;54;S;A
338;l;was;common;s;66;S;A
339;l;was;simple;s;79;S;A
340;l;was;common;s;80;S;A
341;l;was;easy;s;80;S;A
342;l;was;early;s;85;S;A
343;l;was;early;s;90;S;A
344;l;was;common;s;97;S;A
345;l;was;early;s;158;S;A
346;l;was;simple;s;222;S;A
347;l;was;simple;s;231;S;A
348;l;was;early;s;233;S;A
349;l;was;simple;s;246;S;A
350;l;bow;common;s;35;S;A
351;l;bow;clumsy;a;53;S;A
352;l;bow;pure;s;198;S;A
353;l;asil;homely;s;29;S;A
354;l;asil;simple;s;42;S;A
