adjective	form	category	text	genre	publication_date	corpus	pattern	position	than_compl	definite	verb_pattern	coordinated	page	text_details
common	s	C	cop	fiction	1964	A	c1	postnominal	1	0	0	0	76	C.P. Snow, The corridors of power
able	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	106	C.P. Snow, The corridors of power
busy	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	223	C.P. Snow, The corridors of power
simple	s	C	cop	fiction	1964	A	c1	postnominal	1	0	0	0	239	C.P. Snow, The corridors of power
happy	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	204	C.P. Snow, The corridors of power
easy	s	C	cop	fiction	1964	A	c4	postnominal	0	0	1	0	271	C.P. Snow, The corridors of power
discreet	a	S	cop	fiction	1964	A	m	attributive	NA	NA	NA	1	229	C.P. Snow, The corridors of power
stately	a	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	193	C.P. Snow, The corridors of power
petty	s	C	cop	fiction	1964	A	a2	attributive	0	0	0	0	47	C.P. Snow, The corridors of power
easy	s	C	cop	fiction	1964	A	c4	postnominal	0	0	1	0	129	C.P. Snow, The corridors of power
subtle	s	C	cop	fiction	1964	A	g1	nominalized	0	NA	0	0	272	C.P. Snow, The corridors of power
easy	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	23	C.P. Snow, The corridors of power
happy	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	166	C.P. Snow, The corridors of power
gentle	s	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	163	C.P. Snow, The corridors of power
early	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	33	C.P. Snow, The corridors of power
stubby	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	207	C.P. Snow, The corridors of power
prickly	a	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	299	C.P. Snow, The corridors of power
lonely	s	C	cop	fiction	1964	A	d2	attributive	0	0	0	1	49	C.P. Snow, The corridors of power
heavy	s	C	cop	fiction	1964	A	c2	postnominal	0	0	0	0	81	C.P. Snow, The corridors of power
easy	s	S	cop	fiction	1964	A	l	attributive	NA	NA	NA	0	26	C.P. Snow, The corridors of power
pretty	s	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	140	C.P. Snow, The corridors of power
humble	s	S	cop	fiction	1964	A	m	attributive	NA	NA	NA	1	96	C.P. Snow, The corridors of power
early	s	C	cop	fiction	1964	A	a3	attributive	0	1	0	0	234	C.P. Snow, The corridors of power
happy	s	C	cop	fiction	1964	A	c4	postnominal	0	0	1	0	109	C.P. Snow, The corridors of power
likely	a	C	cop	fiction	1964	A	b2	predicative	0	0	0	0	161	C.P. Snow, The corridors of power
bitter	a	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	112	C.P. Snow, The corridors of power
tricky	a	C	cop	fiction	1964	A	e1	predicative	1	0	0	1	40	C.P. Snow, The corridors of power
worldly	a	C	cop	fiction	1964	A	e1	predicative	1	0	0	1	254	C.P. Snow, The corridors of power
simple	s	C	cop	fiction	1964	A	a2	attributive	0	0	0	0	175	C.P. Snow, The corridors of power
easy	s	C	cop	fiction	1964	A	c3	postnominal	1	0	1	0	29	C.P. Snow, The corridors of power
angry	a	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	152	C.P. Snow, The corridors of power
cagey	a	C	cop	fiction	1964	A	e1	predicative	1	0	0	1	40	C.P. Snow, The corridors of power
simple	s	C	cop	fiction	1964	A	a2	attributive	0	0	0	0	188	C.P. Snow, The corridors of power
likely	a	C	cop	fiction	1964	A	b1	predicative	1	0	0	0	161	C.P. Snow, The corridors of power
hearty	s	S	cop	fiction	1964	A	n	predicative	NA	NA	NA	0	304	C.P. Snow, The corridors of power
sober	a	C	cop	fiction	1964	A	e2	predicative	0	0	0	1	189	C.P. Snow, The corridors of power
sombre	a	C	cop	fiction	1964	A	e1	predicative	1	0	0	1	18	C.P. Snow, The corridors of power
humble	s	C	dr	drama	1963	A	a2	attributive	0	0	0	0	94	D. Rudkin, Afore night come
likely	a	C	gc	drama	1963	A	b2	predicative	0	0	0	0	173	G. Cooper, Everything in the garden
skinny	s	C	gc	drama	1963	A	b2	predicative	0	0	0	0	165	G. Cooper, Everything in the garden
simple	s	S	gc	drama	1963	A	m	attributive	NA	NA	NA	1	215	G. Cooper, Everything in the garden
easy	s	C	gc	drama	1963	A	b2	predicative	0	0	0	0	201	G. Cooper, Everything in the garden
busy	s	S	gc	drama	1963	A	l	attributive	NA	NA	NA	0	220	G. Cooper, Everything in the garden
foggy	s	S	hp	drama	1960	A	l	attributive	NA	NA	NA	0	62	Harold Pinter, The caretaker
clever	a	C	ja	drama	1964	B	b1	predicative	1	0	0	0	39	J. Arden, The bywaters of Babylon, Live like pigs, The happy haven
noisy	s	S	ja	drama	1964	B	l	attributive	NA	NA	NA	0	50	J. Arden, The bywaters of Babylon, Live like pigs, The happy haven
tidy	s	C	ja	drama	1964	B	b2	predicative	0	0	0	0	64	J. Arden, The bywaters of Babylon, Live like pigs, The happy haven
happy	s	C	ja	drama	1964	B	b2	predicative	0	0	0	0	233	J. Arden, The bywaters of Babylon, Live like pigs, The happy haven
happy	s	S	ja	drama	1964	B	l	attributive	NA	NA	NA	0	64	J. Arden, The bywaters of Babylon, Live like pigs, The happy haven
easy	s	C	ja	drama	1964	B	b2	predicative	0	0	0	0	78	J. Arden, The bywaters of Babylon, Live like pigs, The happy haven
easy	s	C	ja	drama	1964	B	b2	predicative	0	0	0	0	232	J. Arden, The bywaters of Babylon, Live like pigs, The happy haven
narrow	s	S	lat	fiction	1962	B	l	attributive	NA	NA	NA	0	33	J. Braine, Life at the top
quiet	s	C	lat	fiction	1962	B	a2	attributive	0	0	0	0	222	J. Braine, Life at the top
happy	s	C	lat	fiction	1962	B	b1	predicative	1	0	0	0	255	J. Braine, Life at the top
happy	s	C	lat	fiction	1962	B	a1	attributive	1	0	0	0	237	J. Braine, Life at the top
early	s	C	lat	fiction	1962	B	c1	postnominal	1	0	0	0	135	J. Braine, Life at the top
mangy	s	C	lat	fiction	1962	B	b2	predicative	0	0	0	0	230	J. Braine, Life at the top
